,job title,ONET skill,skill name,context
10,Automotive Service Manager-Hampton Car Care Center,27111802,levels,"Continually develops plans, programs, and promotions to increase production and customer service satisfaction levels."
11,Automotive Service Manager-Hampton Car Care Center,2.B.5.a,time management,Time Management and multi-tasking - must be able to perform multiple tasks and use time efficiently.
12,Service Truck Operator-Norfolk,25101507-Trucks,trucks,You will switch between trucks as needed and will most likely not use the same truck on a permanent basis.
13,Service Truck Operator-Norfolk,27111802,levels,All Service truck operators are required to maintain the professional image and customer service levels of AAA.
14,Service Truck Operator-Norfolk,2.C.3.e,mechanical,This position requires some mechanical aptitude/knowledge.
15,Service Truck Operator-Norfolk,2.B.5.a,time management,Time Management & multi-tasking - must be able to perform multiple tasks and use time efficiently.
16,Automotive Technician-Chesapeake,25101503-Automobiles,automobiles,Perform minor diagnostics on automobiles as required.
17,Automotive Technician-Chesapeake,23251502-Brakes,brakes,"Repair vehicles according to manufacturers' specifications including, but not limited to, brakes, suspension, exhaust, drive train, cooling system, tires, alignments, air conditioning/heating, ignition system, and fuel system."
18,Lube Technician-Norfolk,25101503-Automobiles,automobiles,This position performs minor repairs and lube services to automobiles.
19,Lube Technician-Norfolk,25101503-Automobiles,automobiles,Responsibilities include: perform oil changes and lubrication services to automobiles.
20,Lube Technician-Norfolk,2.B.3.d,installation,Perform tire repairs and installation services to automobiles.
21,Lube Technician-Norfolk,25101503-Automobiles,automobiles,Perform tire repairs and installation services to automobiles.
22,Lube Technician-Norfolk,25101503-Automobiles,automobiles,"Perform any other minor repairs to automobiles as assigned by a lead tech or service writer, according to his/her abilities."
23,Lube Technician-Norfolk,43232605-AUTO,auto,"All applicants must meet the following qualifications: Automotive Repair Knowledge -Minimum 1 year automotive tire, Lube, or general repair experience or six months of auto trade school or other formalized training program.must provide own full set of tools."
24,Lube Technician-Norfolk,2.B.5.a,time management,"Time Management and multi-tasking -must be able to perform multiple tasks and use time efficiently.must be able to deal with negative emotions from others, displaying a positive, caring attitude on each interaction."
25,Automotive Technician-Williamsburg,23251502-Brakes,brakes,"Repairs vehicles according to manufacturers' specifications including, but not limited to, brakes, suspension, exhaust, electrical, drive train, cooling system, ignition system, tires, alignments, air conditioning/heating, engine performance, and fuel system."
26,Automotive Technician-Williamsburg,2.C.3.e,mechanical,Oversees all mechanical repairs.
27,Insurance Agent,43232402-C,c,Current license of P&C;.
28,Insurance Agent,2.A.1.b,active listening,"Active listening-- listening to, interpreting, understanding, and processing verbal information; probing to ensure all key information is obtained from member."
29,Insurance Agent,2.A.1.d,speaking,"Communication and telephone skills-- using proper telephone etiquette and speaking in a clear, understandable manner; tactfully controlling interactions in order to efficiently obtain and give necessary information; clearly explaining itineraries, costs, and other travel related information; preparing written communications and documents."
30,Automotive Technician-Suffolk,25101503-Automobiles,automobiles,Perform minor diagnostics on automobiles as required.
31,Automotive Technician-Suffolk,23251502-Brakes,brakes,"Repair vehicles according to manufacturers' specifications including, but not limited to, brakes, suspension, exhaust, drive train, cooling system, tires, alignments, air conditioning/heating, ignition system, and fuel system."
32,State Inspector- Chesapeake,25101503-Automobiles,automobiles,Perform oil changes and lubrication services to automobiles.
33,State Inspector- Chesapeake,2.B.3.d,installation,Perform tire repairs and installation services to automobiles.
34,State Inspector- Chesapeake,25101503-Automobiles,automobiles,Perform tire repairs and installation services to automobiles.
35,State Inspector- Chesapeake,25101503-Automobiles,automobiles,Perform any other basic repairs to automobiles as assigned by a lead tech or manager/service manager/service writer according to his/her abilities.
36,State Inspector- Chesapeake,23251502-Brakes,brakes,"This could include but not be limited to brakes, suspension, alignments, parts changing, exhaust, ac/heating, maintenance inspections, and tune-ups."
37,State Inspector- Chesapeake,2.B.5.a,time management,Time Management and multi-tasking -must be able to perform multiple tasks and use time efficiently.
38,State Inspector- Suffolk,25101503-Automobiles,automobiles,Perform oil changes and lubrication services to automobiles.
39,State Inspector- Suffolk,2.B.3.d,installation,Perform tire repairs and installation services to automobiles.
40,State Inspector- Suffolk,25101503-Automobiles,automobiles,Perform tire repairs and installation services to automobiles.
41,State Inspector- Suffolk,25101503-Automobiles,automobiles,Perform any other basic repairs to automobiles as assigned by a lead tech or manager/service manager/service writer according to his/her abilities.
42,State Inspector- Suffolk,23251502-Brakes,brakes,"This could include but not be limited to brakes, suspension, alignments, parts changing, exhaust, ac/heating, maintenance inspections, and tune-ups."
43,State Inspector- Suffolk,2.B.5.a,time management,Time Management and multi-tasking -must be able to perform multiple tasks and use time efficiently.
44,State Inspector- Virginia Beach,25101503-Automobiles,automobiles,Perform oil changes and lubrication services to automobiles.
45,State Inspector- Virginia Beach,2.B.3.d,installation,Perform tire repairs and installation services to automobiles.
46,State Inspector- Virginia Beach,25101503-Automobiles,automobiles,Perform tire repairs and installation services to automobiles.
47,State Inspector- Virginia Beach,25101503-Automobiles,automobiles,Perform any other basic repairs to automobiles as assigned by a lead tech or manager/service manager/service writer according to his/her abilities.
48,State Inspector- Virginia Beach,23251502-Brakes,brakes,"This could include but not be limited to brakes, suspension, alignments, parts changing, exhaust, ac/heating, maintenance inspections, and tune-ups."
49,State Inspector- Virginia Beach,2.B.5.a,time management,Time Management and multi-tasking -must be able to perform multiple tasks and use time efficiently.
50,Automotive Service Manager-Chesapeake Car Care Center,27111802,levels,"Continually develops plans, programs, and promotions to increase production and customer service satisfaction levels."
51,Automotive Service Manager-Chesapeake Car Care Center,2.B.5.a,time management,Time Management and multi-tasking - must be able to perform multiple tasks and use time efficiently.
52,Supply Specialist (SCA),1.A.1.b.2,originality,Inspects Oem or FAA form 8130-3 / Certificate of conformance documentation for originality and serial number.
53,Supply Specialist (SCA),2.C.10,transportation,"Package materials for transportation, including Hazmat Materials IAW PWS requirements."
54,Supply Specialist (SCA),1.A.1.b.2,originality,Inspects Oem or FAA form 8130-3 / Certificate of conformance documentation for originality and serial number.
55,Supply Specialist (SCA),43232405-SKILL,skill,"The requirements listed are representative of the knowledge, skill, and/or ability required."
56,Site Support Lead,2.A.1.c,writing,Essential duties and responsibilities: Reports in writing and orally to AAR DSL management.
57,Site Support Lead,43232402-C,c,Responding to on-site supply requirements generated by the squadron in support of C-40A organizational maintenance.
58,Site Support Lead,42191808-Frames,frames,Ensures tasks are completed within estimated time frames and budget constraints.
59,Site Support Lead,2.C.10,transportation,Selects most efficient means of transportation and shipping.
60,Site Support Lead,2.C.10,transportation,"Coordinate CFT -LRB-contract field team-RRB- personnel requirements and transportation, assembly and shipment of a CFT support kit."
61,Site Support Lead,27111802,levels,Establishes all baseline minimum quantity levels.
62,Site Support Lead,42181904-Monitors,monitors,Monitors each task and keeps AAR DSL leadership abreast of all problems and accomplishments.
63,Site Support Lead,2.C.3.c,design,Design and conduct research or technical studies to support functional areas.
64,Site Support Lead,43232405-SKILL,skill,"The requirements listed are representative of the knowledge, skill, and/or ability required."
65,Site Support Lead,2.A.1.f,science,Education and/or experience: Required: Bachelor of Arts degree -LRB-B.A.-RRB- or bachelor of science degree -LRB-B.S.-RRB- or bachelor of Business Administration -LRB-B.B.A.-RRB- from four-year college or university; or Ten -LRB-10-RRB- years' related experience.
66,Supply Specialist (SCA),1.A.1.b.2,originality,Inspects Oem or FAA form 8130-3 / certificate of conformance documentation for originality and serial number.
67,Supply Specialist (SCA),2.C.10,transportation,"Package materials for transportation, including Hazmat Materials IAW PWS requirements."
68,Supply Specialist (SCA),1.A.1.b.2,originality,Inspects Oem or FAA form 8130-3 / Certificate of conformance documentation for originality and serial number.
69,Supply Specialist (SCA),43232405-SKILL,skill,"The requirements listed are representative of the knowledge, skill, and/or ability required."
70,Drafter,39121002-Power transformers,power transformers,"ABB is seeking a drafter to prepare engineering drawings and data packages of moderate complexity for such products as components, hardware, assemblies and equipment, and perform other related duties for the manufacturing of small power transformers."
71,Drafter,2.C.3.c,design,"Typical duties/responsibilities may include, but are not limited to, the following: Perform Mathematical calculations, use most appropriate drafting equipment such as computer aided design, related hardware/software or mechanical equipment and follow general instructions to produce drawings of moderately complex products, in accordance with departmental procedures and standard drafting practices."
72,Drafter,2.C.3.e,mechanical,"Typical duties/responsibilities may include, but are not limited to, the following: Perform Mathematical calculations, use most appropriate drafting equipment such as computer aided design, related hardware/software or mechanical equipment and follow general instructions to produce drawings of moderately complex products, in accordance with departmental procedures and standard drafting practices."
73,Drafter,2.C.3.c,design,"Check completed drawings for accuracy, completeness, design practices and standard applications."
74,Supervisor / Lead Testers,2.B.3.d,installation,"ABB is seeking transformer field service supervisor/lead testers to analyze requirements and assess changes for transformer equipment, and consult and negotiate with customers regarding installation, modification, and repair of transformer equipment and products in customer field locations."
75,Supervisor / Lead Testers,39121003-Transformers,transformers,"You'll work as part of our power products team, which engineers solutions and products such as switchgear, capacitors, distribution, and traction transformers."
76,Supervisor / Lead Testers,39121003-Transformers,transformers,We're the world's largest supplier of transformers and recently developed the highest-voltage direct current -LRB-DC-RRB- transformer ever.
77,Supervisor / Lead Testers,43232605-REDUCE,reduce,"Investigate problems, develop or recommend solutions and implement measures to prevent recurrence or reduce impact."
78,Supervisor / Lead Testers,43232610-ImPACT,impact,"Investigate problems, develop or recommend solutions and implement measures to prevent recurrence or reduce impact."
79,Supervisor / Lead Testers,43232605-REDUCE,reduce,"Review equipment capabilities, methods and processes and recommend feasibility of utilizing alternative measures or equipment to reduce costs, and improve quality."
80,Supervisor / Lead Testers,2.B.3.d,installation,Technical and/or hands on work: Transformer Installation and assembly.
81,Product Group Unit Controller,2.B.1.b,coordination,"The controller is responsible for the financial management of the product group unit, including coordination and direction of the accounting, budget and strategic planning, staffing, and all other activities necessary for a successful financial function."
82,Product Group Unit Controller,2.B.1.b,coordination,Ensure coordination and cooperation with shared service centers.
83,Electrical Design Engineer,2.C.3.c,design,"ABB is seeking an electrical design engineer to design and analyze parts, components, assemblies, subassemblies and systems relating to power transformers, and the production of associated drawings and instructions."
84,Electrical Design Engineer,2.C.3.c,design,"ABB is seeking an electrical design engineer to design and analyze parts, components, assemblies, subassemblies and systems relating to power transformers, and the production of associated drawings and instructions."
85,Electrical Design Engineer,39121002-Power transformers,power transformers,"ABB is seeking an electrical design engineer to design and analyze parts, components, assemblies, subassemblies and systems relating to power transformers, and the production of associated drawings and instructions."
86,Electrical Design Engineer,2.C.3.c,design,"Typical duties/responsibilities may include, but are not limited to, the following: perform various engineering tasks involving such functions as analysis, design, development, test, installation and service, while working from instructions, drawings, proposals, specifications, and other pertinent information."
87,Electrical Design Engineer,2.B.3.d,installation,"Typical duties/responsibilities may include, but are not limited to, the following: perform various engineering tasks involving such functions as analysis, design, development, test, installation and service, while working from instructions, drawings, proposals, specifications, and other pertinent information."
88,Supply Chain Manager,2.C.10,transportation,"Overall management of the supply management functions includes planning, scheduling, expediting, procurement, material and inventory management, and transportation."
89,Alliance Marketing Manager,2.C.3.c,design,Tender design and support.
90,Alliance Marketing Manager,42251612-Weights,weights,Provide weights and final location to logistics.
91,Alliance Marketing Manager,44111809-Templates,templates,Create customer final proposal using standard templates.
92,Alliance Marketing Manager,2.B.1.d,negotiation,Order negotiation and closing.
93,Sales Manager - North America Rail and Traction,2.B.1.d,negotiation,CONTRACT NEGOTIATION & Strong Legal Understanding -LRB-for contracts and Buy America Requirements-RRB-.
94,Operations Assistant,2.C.10,transportation,Transportation experience is preferred.
95,City Driver Full-Time Combined Dock/P&D,43232405-Self,self,"ABF freight is looking for self-motivated, hardworking and energetic city drivers."
96,Operations Supervisor,2.C.10,transportation,"Qualifications: Bachelor's degree, preferred high school diploma, ged equivalent, required terminal, transportation, and/or other related experience, preferred supervisory experience, preferred general knowledge of freight, imports, exports, and proper freight handling techniques basic PC skills, including Microsoft office ability to perform physical Labor -LRB-bending, heavy lifting, etc.-RRB- must be detail oriented and enjoy a fast paced, multi-tasking, customer service minded environment must have excellent verbal and written communications and organizational skills must display sense of urgency, ability to work under pressure, with attention to detail."
97,Operations Supervisor,43231513-Microsoft Office,microsoft office,"Qualifications: Bachelor's degree, preferred high school diploma, ged equivalent, required terminal, transportation, and/or other related experience, preferred supervisory experience, preferred general knowledge of freight, imports, exports, and proper freight handling techniques basic PC skills, including Microsoft office ability to perform physical Labor -LRB-bending, heavy lifting, etc.-RRB- must be detail oriented and enjoy a fast paced, multi-tasking, customer service minded environment must have excellent verbal and written communications and organizational skills must display sense of urgency, ability to work under pressure, with attention to detail."
98,City Driver Full-Time Combined Dock/P&D,43232405-Self,self,"ABF freight is looking for self-motivated, hardworking and energetic city drivers."
99,City Driver Part-Time Combined Dock/P&D,43232405-Self,self,"ABF freight is looking for self-motivated, hardworking and energetic city drivers."
100,Account Manager,27111802,levels,"Sell to all size companies such as manufacturers, distributors and big box retail vendors, and to all levels within an organization.qualifications a BA or bs in business, marketing, and/or supply chain management is preferred, but a well-managed and successful sales career will be considered as well."
101,Account Manager,43232402-C,c,"Prior c-level presentation experience, Financial Acumen, and strong organizational skills are preferred."
102,Account Manager,43232402-C,c,"abf-cat-sal  A BA or BS in Business, Marketing, and/or Supply Chain Management is preferred, but a well-managed and successful sales career will be considered as well., Prior C-Level presentation experience, financial acumen, and strong organizational skills are preferred., Solid communication and presentation skills are a must., One should be professional, courteous and have a customer-focused attitude., We are searching for someone with the ability to lead the sales process from uncovering a customer&apos;s needs, to successful account development.Benefits of being on our team:, Attractive salary plus incentive plan., Professional training., Excellent benefits-Medical, Dental, Vision, 401k., Cell phone and car allowance., Expense account., Paid holidays and vacation.Upon completion of the online application, instructions will be provided for submitting a resume."
103,City Driver Part-Time Combined Dock/P&D,43232405-Self,self,"ABF freight is looking for self-motivated, hardworking and energetic city drivers."
104,City Driver Part-Time Combined Dock/P&D,43232405-Self,self,"ABF freight is looking for self-motivated, hardworking and energetic city drivers."
105,City Driver Full-Time Combined Dock/P&D,43232405-Self,self,"ABF freight is looking for self-motivated, hardworking and energetic city drivers."
106,Road Driver Full-Time,25181702-Cargo trailers,cargo trailers,GENERAL DESCRIPTION OF DUTIES: Road drivers are responsible for the pickup and delivery of cargo trailers to and from various long distance destinations.
107,Road Driver Full-Time,25101901-Tractors,tractors,BENEFITS: road tractors average less than 18 months in age.
108,Road Driver Full-Time,25101901-Tractors,tractors,Tractors equipped with power steering.
109,City Driver Full-Time Combined Dock/P&D,43232405-Self,self,"ABF freight is looking for self-motivated, hardworking and energetic city drivers."
110,Sr. Systems Engineer,43211502-Workstations,workstations,"Job Description: Position Summary:This is an exempt position that provides both hardware and software support for servers, workstations and other networked devices."
111,Sr. Systems Engineer,2.A.1.c,writing,application/script writing and development.
112,Sr. Systems Engineer,43211502-Workstations,workstations,"Troubleshoot servers, workstations, and networked devices."
113,Sr. Systems Engineer,43233004-Linux,linux,"Operating System's and software: Linux -LRB-Redhat/centos/fedora, windows, Mac OSX-RRB-; Apache; Sendmail/exim; iptables; Selinux; squid proxy."
114,Sr. Systems Engineer,43233204-IpTables,iptables,"Operating System's and software: Linux -LRB-Redhat/centos/fedora, windows, Mac OSX-RRB-; Apache; Sendmail/exim; iptables; Selinux; squid proxy."
115,"Sr. Network Engineer - Herndon, VA",2.A.1.c,writing,Assist in proposal writing and customer communications;.
116,"Sr. Network Engineer - Herndon, VA",2.C.9.a,telecommunications,"Technical understanding of the components of the telecommunications network and a demonstrated ability to quickly assimilate technical data, methods and procedures;."
117,"Sr. Network Engineer - Herndon, VA",2.A.1.c,writing,Assist in proposal writing and customer communications;.
118,"Sr. Network Engineer - Herndon, VA",2.C.9.a,telecommunications,"Technical understanding of the components of the telecommunications network and a demonstrated ability to quickly assimilate technical data, methods and procedures;."
119,Sr. Network Engineer,2.A.1.c,writing,Assist in proposal writing and customer communications;.
120,Sr. Network Engineer,2.C.9.a,telecommunications,"Technical understanding of the components of the telecommunications network and a demonstrated ability to quickly assimilate technical data, methods and procedures;."
121,Driver,25101507-Trucks,trucks,"Responsibilities include: make local deliveries with a company vehicle load and unload trucks maintain inventory accuracy maintain a neat, safe and organized work environment providing timely and accurate service."
122,Driver,25101507-Trucks,trucks,"Within hours of calling one of our highly trained team members,an order will be delivered to the job site on one of our trucks."
123,Driver,43232611-Square,square,"With over 30,000 stocked items, over 3,000 vendors, over 700,000 square feet of warehouse space and over 17 acres of yard space in the southeast and Texas, Ram tool is a one stop shop forour customers' construction supply needs."
124,Senior Instrumentation Engineer,2.C.3.c,design,"Your experience as an instrumentation and controls engineer will be critical as you develop engineering calculations, draft/design constructible solutions, and coordinate with other disciplines."
125,Senior Instrumentation Engineer,40141609,control valves,"Lead Electrical Project team prepare designs, specifications, and drawings for instrumentation, control valves, and PLC/DCS systems."
126,Senior Instrumentation Engineer,2.C.3.c,design,Instrument list I/O list conceptual design able to read P&ID; instrumentation specifications construction scopes of work and Specifications Construction Bid Packages Support Development of Project Engineering Bids Support Development of ENGINEERING SCOPES OF W
127,Senior Mechanical/Piping Designer,2.C.3.e,mechanical,"As one of our senior mechanical/piping designer, based in our headquarters south of Richmond in colonial heights, va you will be a part of a creative team that focuses on industrial processes giving our clients creative and innovative solutions that meet or exceed their expectations in performance, schedule, and budget."
128,Senior Mechanical/Piping Designer,2.C.3.e,mechanical,"Your experience as a mechanical/piping designer will be critical as you develop equipment arrangements, draft/design constructible solutions, and coordinate with other disciplines."
129,Senior Mechanical/Piping Designer,2.C.3.c,design,"Your experience as a mechanical/piping designer will be critical as you develop equipment arrangements, draft/design constructible solutions, and coordinate with other disciplines."
130,Senior Mechanical/Piping Designer,2.C.3.e,mechanical,"Mechanical Design of piping systems, machine design, Duct Tie-point lists valve lists equipment lists conceptual design detail design drawings including plans and isometrics mechanical/piping specifications construction scopes of work and Specifications Construction Bid Packages Support Development of Project Engineering Bids Support Development of engineering scopes of Work Support Development of total install cost estimates development of scope change orders input to project schedule - development and ongoing client and vendor correspondence client and vendor meetings meeting minutes site work - including as built conditions, locating tie-points construction support/oversight Inter-discipline coordination and intra-discipline coordination with project team participation in project meetings."
131,Senior Mechanical/Piping Designer,2.C.3.c,design,"Mechanical Design of piping systems, machine design, Duct Tie-point lists valve lists equipment lists conceptual design detail design drawings including plans and isometrics mechanical/piping specifications construction scopes of work and Specifications Construction Bid Packages Support Development of Project Engineering Bids Support Development of engineering scopes of Work Support Development of total install cost estimates development of scope change orders input to project schedule - development and ongoing client and vendor correspondence client and vendor meetings meeting minutes site work - including as built conditions, locating tie-points construction support/oversight Inter-discipline coordination and intra-discipline coordination with project team participation in project meetings."
132,Senior Mechanical/Piping Designer,2.C.3.c,design,"Mechanical Design of piping systems, machine design, Duct Tie-point lists valve lists equipment lists conceptual design detail design drawings including plans and isometrics mechanical/piping specifications construction scopes of work and Specifications Construction Bid Packages Support Development of Project Engineering Bids Support Development of engineering scopes of Work Support Development of total install cost estimates development of scope change orders input to project schedule - development and ongoing client and vendor correspondence client and vendor meetings meeting minutes site work - including as built conditions, locating tie-points construction support/oversight Inter-discipline coordination and intra-discipline coordination with project team participation in project meetings."
133,Senior Mechanical/Piping Designer,2.C.3.c,design,"Mechanical Design of piping systems, machine design, Duct Tie-point lists valve lists equipment lists conceptual design detail design drawings including plans and isometrics mechanical/piping specifications construction scopes of work and Specifications Construction Bid Packages Support Development of Project Engineering Bids Support Development of engineering scopes of Work Support Development of total install cost estimates development of scope change orders input to project schedule - development and ongoing client and vendor correspondence client and vendor meetings meeting minutes site work - including as built conditions, locating tie-points construction support/oversight Inter-discipline coordination and intra-discipline coordination with project team participation in project meetings."
134,Senior Mechanical/Piping Designer,2.C.3.c,design,"Mechanical Design of piping systems, machine design, Duct Tie-point lists valve lists equipment lists conceptual design detail design drawings including plans and isometrics mechanical/piping specifications construction scopes of work and Specifications Construction Bid Packages Support Development of Project Engineering Bids Support Development of engineering scopes of Work Support Development of total install cost estimates development of scope change orders input to project schedule - development and ongoing client and vendor correspondence client and vendor meetings meeting minutes site work - including as built conditions, locating tie-points construction support/oversight Inter-discipline coordination and intra-discipline coordination with project team participation in project meetings."
135,Senior Mechanical/Piping Designer,2.C.3.e,mechanical,"Mechanical Design of piping systems, machine design, Duct Tie-point lists valve lists equipment lists conceptual design detail design drawings including plans and isometrics mechanical/piping specifications construction scopes of work and Specifications Construction Bid Packages Support Development of Project Engineering Bids Support Development of engineering scopes of Work Support Development of total install cost estimates development of scope change orders input to project schedule - development and ongoing client and vendor correspondence client and vendor meetings meeting minutes site work - including as built conditions, locating tie-points construction support/oversight Inter-discipline coordination and intra-discipline coordination with project team participation in project meetings."
136,Senior Mechanical/Piping Designer,2.B.1.b,coordination,"Mechanical Design of piping systems, machine design, Duct Tie-point lists valve lists equipment lists conceptual design detail design drawings including plans and isometrics mechanical/piping specifications construction scopes of work and Specifications Construction Bid Packages Support Development of Project Engineering Bids Support Development of engineering scopes of Work Support Development of total install cost estimates development of scope change orders input to project schedule - development and ongoing client and vendor correspondence client and vendor meetings meeting minutes site work - including as built conditions, locating tie-points construction support/oversight Inter-discipline coordination and intra-discipline coordination with project team participation in project meetings."
137,Senior Mechanical/Piping Designer,2.B.1.b,coordination,"Mechanical Design of piping systems, machine design, Duct Tie-point lists valve lists equipment lists conceptual design detail design drawings including plans and isometrics mechanical/piping specifications construction scopes of work and Specifications Construction Bid Packages Support Development of Project Engineering Bids Support Development of engineering scopes of Work Support Development of total install cost estimates development of scope change orders input to project schedule - development and ongoing client and vendor correspondence client and vendor meetings meeting minutes site work - including as built conditions, locating tie-points construction support/oversight Inter-discipline coordination and intra-discipline coordination with project team participation in project meetings."
138,Senior Mechanical/Piping Designer,2.C.3.c,design,"10+ years of industrial design in specialty chemicals preferred other industrial industries will be considered if those industries are in line withapsclients process piping design experience in industrial process facilities knowledge in pipe, pipe fittings, pipe support, valves, and insulation experience in development of equipment arrangements field experience including gathering existing field data and dimensions experience in construction support/oversight experience in startup and commissioning working know"
139,Senior Mechanical/Piping Designer,2.C.3.c,design,"10+ years of industrial design in specialty chemicals preferred other industrial industries will be considered if those industries are in line withapsclients process piping design experience in industrial process facilities knowledge in pipe, pipe fittings, pipe support, valves, and insulation experience in development of equipment arrangements field experience including gathering existing field data and dimensions experience in construction support/oversight experience in startup and commissioning working know"
140,Senior Electrical Engineer,2.C.3.c,design,"Your experience as an electrical engineer will be critical as you develop engineering calculations, draft/design constructible solutions, and coordinate with other disciplines."
141,Senior Electrical Engineer,2.C.3.c,design,"Motor load list calculations including - service entrance, voltage drop, conduit fill conceptual design able to read P&ID; electrical specifications construction scopes of work and Specifications Construction Bid Packages Support Development of Project Engineering Bids Support Development of engineering scopes of Work Support Development of total install cost estimates development of scope change orders input to project schedule - development and ongoing client and vendor correspondence client and vendor meetings meeting minutes project status reporting site work - including as built conditions, locating power sources construction support/oversight Inter-discipline coordination and intra-discipline coordination with project team."
142,Senior Electrical Engineer,2.B.1.b,coordination,"Motor load list calculations including - service entrance, voltage drop, conduit fill conceptual design able to read P&ID; electrical specifications construction scopes of work and Specifications Construction Bid Packages Support Development of Project Engineering Bids Support Development of engineering scopes of Work Support Development of total install cost estimates development of scope change orders input to project schedule - development and ongoing client and vendor correspondence client and vendor meetings meeting minutes project status reporting site work - including as built conditions, locating power sources construction support/oversight Inter-discipline coordination and intra-discipline coordination with project team."
143,Senior Electrical Engineer,2.B.1.b,coordination,"Motor load list calculations including - service entrance, voltage drop, conduit fill conceptual design able to read P&ID; electrical specifications construction scopes of work and Specifications Construction Bid Packages Support Development of Project Engineering Bids Support Development of engineering scopes of Work Support Development of total install cost estimates development of scope change orders input to project schedule - development and ongoing client and vendor correspondence client and vendor meetings meeting minutes project status reporting site work - including as built conditions, locating power sources construction support/oversight Inter-discipline coordination and intra-discipline coordination with project team."
144,Senior Electrical Designer,2.C.3.c,design,Are you seeking a position where you can use your electrical design skills as part of a team to create an innovative solution to challenging industrial processes?.
